	Gene	merge1
588	AT1G06460.Araport11.447	149
589	AT1G06470.Araport11.447	643
590	AT1G06475.Araport11.447	0
591	AT1G06490.Araport11.447	78
592	AT1G06500.Araport11.447	298
593	AT1G06515.Araport11.447	2177
594	AT1G06510.Araport11.447	451
595	AT1G06520.Araport11.447	4
596	AT1G06530.Araport11.447	0
597	AT1G06540.Araport11.447	8
598	AT1G06550.Araport11.447	1196
599	AT1G06560.Araport11.447	359
600	AT1G06570.Araport11.447	1183
601	AT1G06580.Araport11.447	45
602	AT1G06590.Araport11.447	218
603	AT1G06620.Araport11.447	1521
604	AT1G06630.Araport11.447	608
605	AT1G06640.Araport11.447	10262
606	AT1G06645.Araport11.447	7
607	AT1G06650.Araport11.447	496
608	AT1G06660.Araport11.447	149
609	AT1G06670.Araport11.447	818
610	AT1G06680.Araport11.447	1221
611	AT1G06690.Araport11.447	108
612	AT1G06700.Araport11.447	2783
613	AT1G06710.Araport11.447	32
614	AT1G06720.Araport11.447	614
615	AT1G06730.Araport11.447	384
616	AT1G06740.Araport11.447	56
617	AT1G06750.Araport11.447	3
618	AT1G06760.Araport11.447	7094
619	AT1G06770.Araport11.447	371
620	AT1G06780.Araport11.447	888
621	AT1G06790.Araport11.447	378
622	AT1G06800.Araport11.447	516
623	AT1G06810.Araport11.447	1
624	AT1G06820.Araport11.447	268
625	AT1G06830.Araport11.447	6
626	AT1G06840.Araport11.447	414
627	AT1G06850.Araport11.447	636
628	AT1G06870.Araport11.447	2097
629	AT1G06890.Araport11.447	2036
630	AT1G06900.Araport11.447	1213
631	AT1G06910.Araport11.447	273
632	AT1G06920.Araport11.447	1
633	AT1G06923.Araport11.447	745
634	AT1G06925.Araport11.447	2
635	AT1G06930.Araport11.447	537
636	AT1G06950.Araport11.447	821
637	AT1G06960.Araport11.447	798
638	AT1G06970.Araport11.447	8
639	AT1G06980.Araport11.447	129
640	AT1G06990.Araport11.447	20
641	AT1G07000.Araport11.447	685
642	AT1G07010.Araport11.447	49
643	AT1G07020.Araport11.447	1728
644	AT1G07025.Araport11.447	1
645	AT1G07030.Araport11.447	1537
646	AT1G07040.Araport11.447	902
647	AT1G07050.Araport11.447	4
648	AT1G07060.Araport11.447	16
649	AT1G07070.Araport11.447	2462
650	AT1G07080.Araport11.447	2895
651	AT1G07090.Araport11.447	438
652	AT1G07110.Araport11.447	625
653	AT1G07120.Araport11.447	91
654	AT1G07130.Araport11.447	973
655	AT1G07135.Araport11.447	40
656	AT1G07140.Araport11.447	14660
657	AT1G07150.Araport11.447	174
658	AT1G07160.Araport11.447	69
659	AT1G07170.Araport11.447	2266
660	AT1G07175.Araport11.447	440
661	AT1G07180.Araport11.447	7
662	AT1G07190.Araport11.447	2
663	AT1G07200.Araport11.447	322
664	AT1G07210.Araport11.447	2380
665	AT1G07220.Araport11.447	507
666	AT1G07230.Araport11.447	926
667	AT1G07240.Araport11.447	464
668	AT1G07250.Araport11.447	1466
669	AT1G07260.Araport11.447	633
670	AT1G07270.Araport11.447	122
671	AT1G07280.Araport11.447	78
672	AT1G07290.Araport11.447	217
673	AT1G07300.Araport11.447	117
674	AT1G07310.Araport11.447	2949
675	AT1G07320.Araport11.447	415
676	AT1G07330.Araport11.447	4
677	AT1G07340.Araport11.447	4
678	AT1G07350.Araport11.447	1716
679	AT1G07360.Araport11.447	1802
680	AT1G07370.Araport11.447	1928
681	AT1G07380.Araport11.447	243
682	AT1G07390.Araport11.447	33
683	AT1G07400.Araport11.447	67
684	AT1G07410.Araport11.447	558
685	AT1G07420.Araport11.447	2466
686	AT1G07430.Araport11.447	11
687	AT1G07440.Araport11.447	16
688	AT1G07450.Araport11.447	4
689	AT1G07460.Araport11.447	1
690	AT1G07470.Araport11.447	999
691	AT1G07473.Araport11.447	5
692	AT1G07476.Araport11.447	0
693	AT1G07480.Araport11.447	916
694	AT1G07485.Araport11.447	1
695	AT1G07490.Araport11.447	0
696	AT1G07510.Araport11.447	681
697	AT1G07500.Araport11.447	0
698	AT1G07520.Araport11.447	0
699	AT1G07530.Araport11.447	470
700	AT1G07540.Araport11.447	4
701	AT1G07550.Araport11.447	17
702	AT1G07560.Araport11.447	212
703	AT1G07570.Araport11.447	560
704	AT1G07590.Araport11.447	16344
705	AT1G07600.Araport11.447	0
706	AT1G07610.Araport11.447	5148
707	AT1G07615.Araport11.447	181
708	AT1G07620.Araport11.447	90
709	AT1G07630.Araport11.447	301
710	AT1G07640.Araport11.447	449
711	AT1G07650.Araport11.447	301
712	AT1G07645.Araport11.447	1
713	AT1G07660.Araport11.447	1358
714	AT1G07670.Araport11.447	2545
715	AT1G07680.Araport11.447	5
716	AT1G07690.Araport11.447	18
717	AT1G07700.Araport11.447	499
718	AT1G07705.Araport11.447	484
719	AT1G07710.Araport11.447	22
720	AT1G07720.Araport11.447	11
721	AT1G07725.Araport11.447	507
722	AT1G07740.Araport11.447	101
723	AT1G07730.Araport11.447	1
724	AT1G07745.Araport11.447	175
725	AT1G07747.Araport11.447	0
726	AT1G07750.Araport11.447	4086
727	AT1G07770.Araport11.447	7295
728	AT1G07780.Araport11.447	145
729	AT1G07790.Araport11.447	2869
730	AT1G07795.Araport11.447	145
731	AT1G07810.Araport11.447	929
732	AT1G07820.Araport11.447	4664
733	AT1G07830.Araport11.447	2405
734	AT1G07840.Araport11.447	1052
735	AT1G07850.Araport11.447	2
736	AT1G07870.Araport11.447	404
737	AT1G07860.Araport11.447	0
738	AT1G07880.Araport11.447	38
739	AT1G07885.Araport11.447	1
740	AT1G07890.Araport11.447	30923
741	AT1G07900.Araport11.447	2
742	AT1G07902.Araport11.447	93
743	AT1G07901.Araport11.447	28
744	AT1G07910.Araport11.447	282
745	AT1G07920.Araport11.447	9473
746	AT1G07930.Araport11.447	7775
747	AT1G07940.Araport11.447	7173
748	AT1G07950.Araport11.447	833
749	AT1G07960.Araport11.447	2175
750	AT1G07970.Araport11.447	302
751	AT1G07980.Araport11.447	536
752	AT1G07985.Araport11.447	501
753	AT1G07990.Araport11.447	575
754	AT1G08000.Araport11.447	226
755	AT1G08005.Araport11.447	0
756	AT1G08010.Araport11.447	738
757	AT1G08030.Araport11.447	590
758	AT1G08035.Araport11.447	23
759	AT1G08040.Araport11.447	591
760	AT1G08050.Araport11.447	278
761	AT1G08060.Araport11.447	182
762	AT1G08065.Araport11.447	4
763	AT1G08070.Araport11.447	42
764	AT1G08080.Araport11.447	4
765	AT1G08090.Araport11.447	6
766	AT1G08100.Araport11.447	4
767	AT1G08110.Araport11.447	2149
768	AT1G08120.Araport11.447	2
